Station;Date;Irradiance
WSLLAF;202201021350;109
WSLLAF;202201021400;99
WSLLAF;202201021410;80
WSLLAF;202201021420;61
WSLLAF;202201021430;50
WSLLAF;202201021440;55
WSLLAF;202201021450;53
WSLLAF;202201021500;35
WSLLAF;202201021510;18
WSLLAF;202201021520;14
WSLLAF;202201021530;7
WSLLAF;202201021540;5
WSLLAF;202201021550;3
WSLLAF;202201021600;1
WSLLAF;202201021610;1
WSLLAF;202201021620;0
WSLLAF;202201021630;0
WSLLAF;202201021640;0
WSLLAF;202201021650;0
WSLLAF;202201021700;0
WSLLAF;202201021710;0
WSLLAF;202201021720;0
WSLLAF;202201021730;0
WSLLAF;202201021740;0
WSLLAF;202201021750;0
WSLLAF;202201021800;0
WSLLAF;202201021810;0
WSLLAF;202201021820;0
WSLLAF;202201021830;0
WSLLAF;202201021840;0
WSLLAF;202201021850;0
WSLLAF;202201021900;0
WSLLAF;202201021910;0
WSLLAF;202201021920;0
WSLLAF;202201021930;0
WSLLAF;202201021940;0
WSLLAF;202201021950;0
WSLLAF;202201022000;0
WSLLAF;202201022010;0
WSLLAF;202201022020;0
WSLLAF;202201022030;0
WSLLAF;202201022040;0
WSLLAF;202201022050;0
WSLLAF;202201022100;0
WSLLAF;202201022110;0
WSLLAF;202201022120;0
WSLLAF;202201022130;0
WSLLAF;202201022140;0
WSLLAF;202201022150;0
WSLLAF;202201022200;0
WSLLAF;202201022210;0
WSLLAF;202201022220;0
WSLLAF;202201022230;0
WSLLAF;202201022240;0
WSLLAF;202201022250;0
WSLLAF;202201022300;0
WSLLAF;202201022310;0
WSLLAF;202201022320;0
WSLLAF;202201022330;0
WSLLAF;202201022340;0
WSLLAF;202201022350;0
WSLLAF;202201030000;0
WSLLAF;202201030010;0
WSLLAF;202201030020;0
WSLLAF;202201030030;0
WSLLAF;202201030040;0
WSLLAF;202201030050;0
WSLLAF;202201030100;0
WSLLAF;202201030110;0
WSLLAF;202201030120;0
WSLLAF;202201030130;0
WSLLAF;202201030140;0
WSLLAF;202201030150;0
WSLLAF;202201030200;0
WSLLAF;202201030210;0
WSLLAF;202201030220;0
WSLLAF;202201030230;0
WSLLAF;202201030240;0
WSLLAF;202201030250;0
WSLLAF;202201030300;0
WSLLAF;202201030310;0
WSLLAF;202201030320;0
WSLLAF;202201030330;0
WSLLAF;202201030340;0
WSLLAF;202201030350;0
WSLLAF;202201030400;0
WSLLAF;202201030410;0
WSLLAF;202201030420;0
WSLLAF;202201030430;0
WSLLAF;202201030440;0
WSLLAF;202201030450;0
WSLLAF;202201030500;0
WSLLAF;202201030510;0
WSLLAF;202201030520;0
WSLLAF;202201030530;0
WSLLAF;202201030540;0
WSLLAF;202201030550;0
WSLLAF;202201030600;0
WSLLAF;202201030610;0
WSLLAF;202201030620;0
WSLLAF;202201030630;0
WSLLAF;202201030640;0
WSLLAF;202201030650;0
WSLLAF;202201030700;0
WSLLAF;202201030710;0
WSLLAF;202201030720;2
WSLLAF;202201030730;5
WSLLAF;202201030740;10
WSLLAF;202201030750;20
WSLLAF;202201030800;26
WSLLAF;202201030810;-
WSLLAF;202201030820;41
WSLLAF;202201030830;41
WSLLAF;202201030840;56
WSLLAF;202201030850;60
WSLLAF;202201030900;102
WSLLAF;202201030910;105
WSLLAF;202201030920;112
WSLLAF;202201030930;120
WSLLAF;202201030940;123
WSLLAF;202201030950;144
WSLLAF;202201031000;191
WSLLAF;202201031010;148
WSLLAF;202201031020;202
WSLLAF;202201031030;214
WSLLAF;202201031040;161
WSLLAF;202201031050;177
WSLLAF;202201031100;181
WSLLAF;202201031110;200
WSLLAF;202201031120;171
WSLLAF;202201031130;162
WSLLAF;202201031140;170
WSLLAF;202201031150;179
WSLLAF;202201031200;227
WSLLAF;202201031210;241
WSLLAF;202201031220;198
WSLLAF;202201031230;150
WSLLAF;202201031240;169
WSLLAF;202201031250;166
WSLLAF;202201031300;103
WSLLAF;202201031310;83
WSLLAF;202201031320;75
WSLLAF;202201031330;75
WSLLAF;202201031340;69
WSLLAF;202201031350;71
WSLLAF;202201031400;73
WSLLAF;202201031410;72
WSLLAF;202201031420;56
WSLLAF;202201031430;55
WSLLAF;202201031440;53
WSLLAF;202201031450;42
WSLLAF;202201031500;35
WSLLAF;202201031510;29
WSLLAF;202201031520;17
WSLLAF;202201031530;14
WSLLAF;202201031540;8
WSLLAF;202201031550;5
WSLLAF;202201031600;2
WSLLAF;202201031610;1
WSLLAF;202201031620;1
WSLLAF;202201031630;0
WSLLAF;202201031640;0
WSLLAF;202201031650;0
WSLLAF;202201031700;0
WSLLAF;202201031710;0
WSLLAF;202201031720;0
WSLLAF;202201031730;0
WSLLAF;202201031740;0
WSLLAF;202201031750;0
WSLLAF;202201031800;0
WSLLAF;202201031810;0
WSLLAF;202201031820;0
WSLLAF;202201031830;0
WSLLAF;202201031840;0
WSLLAF;202201031850;0
WSLLAF;202201031900;0
WSLLAF;202201031910;0
WSLLAF;202201031920;0
WSLLAF;202201031930;0
WSLLAF;202201031940;0
WSLLAF;202201031950;0
WSLLAF;202201032000;0
WSLLAF;202201032010;0
WSLLAF;202201032020;0
WSLLAF;202201032030;0
WSLLAF;202201032040;0
WSLLAF;202201032050;0
WSLLAF;202201032100;0
WSLLAF;202201032110;0
WSLLAF;202201032120;0
WSLLAF;202201032130;0
