,time,value
0,01-Jan-2022 00:00:00,1.2100000000000002
1,01-Jan-2022 00:01:00,1.2496666666666667
2,01-Jan-2022 00:02:00,1.315333333333333
3,01-Jan-2022 00:03:00,1.2051666666666665
4,01-Jan-2022 00:04:00,1.3443333333333336
5,01-Jan-2022 00:05:00,1.2365000000000002
6,01-Jan-2022 00:06:00,1.3269999999999997
7,01-Jan-2022 00:07:00,1.433
8,01-Jan-2022 00:08:00,1.3968333333333334
9,01-Jan-2022 00:09:00,1.5646666666666667
10,01-Jan-2022 00:10:00,1.6320000000000003
11,01-Jan-2022 00:11:00,1.5031666666666665
12,01-Jan-2022 00:12:00,1.324333333333333
13,01-Jan-2022 00:13:00,1.2303333333333335
14,01-Jan-2022 00:14:00,1.303833333333333
15,01-Jan-2022 00:15:00,1.2001666666666673
16,01-Jan-2022 00:16:00,1.217166666666667
17,01-Jan-2022 00:17:00,1.1931666666666667
18,01-Jan-2022 00:18:00,1.291333333333333
19,01-Jan-2022 00:19:00,1.1776666666666669
20,01-Jan-2022 00:20:00,1.0916666666666663
21,01-Jan-2022 00:21:00,1.0875
22,01-Jan-2022 00:22:00,0.9748333333333334
23,01-Jan-2022 00:23:00,1.1435000000000002
24,01-Jan-2022 00:24:00,1.0800000000000003
25,01-Jan-2022 00:25:00,1.0883333333333338
26,01-Jan-2022 00:26:00,1.1668333333333334
27,01-Jan-2022 00:27:00,1.2573333333333327
28,01-Jan-2022 00:28:00,1.1733333333333327
29,01-Jan-2022 00:29:00,1.115833333333333
30,01-Jan-2022 00:30:00,0.9661666666666667
31,01-Jan-2022 00:31:00,0.7720000000000004
32,01-Jan-2022 00:32:00,0.7848333333333333
33,01-Jan-2022 00:33:00,0.7363333333333333
34,01-Jan-2022 00:34:00,0.8591666666666667
35,01-Jan-2022 00:35:00,0.7646666666666667
36,01-Jan-2022 00:36:00,0.7938333333333335
37,01-Jan-2022 00:37:00,0.8056666666666668
38,01-Jan-2022 00:38:00,0.8533333333333333
39,01-Jan-2022 00:39:00,0.7986666666666664
40,01-Jan-2022 00:40:00,0.7438333333333332
41,01-Jan-2022 00:41:00,0.7210000000000001
42,01-Jan-2022 00:42:00,0.7263333333333332
43,01-Jan-2022 00:43:00,0.7430000000000001
44,01-Jan-2022 00:44:00,0.7390000000000003
45,01-Jan-2022 00:45:00,0.7515000000000004
46,01-Jan-2022 00:46:00,0.8226666666666664
47,01-Jan-2022 00:47:00,0.7798333333333336
48,01-Jan-2022 00:48:00,0.8638333333333332
49,01-Jan-2022 00:49:00,0.8558333333333336
50,01-Jan-2022 00:50:00,0.8516666666666668
51,01-Jan-2022 00:51:00,0.9961666666666663
52,01-Jan-2022 00:52:00,1.2105000000000004
53,01-Jan-2022 00:53:00,1.3848333333333334
54,01-Jan-2022 00:54:00,1.1220000000000003
55,01-Jan-2022 00:55:00,1.2045000000000001
56,01-Jan-2022 00:56:00,1.3440000000000003
57,01-Jan-2022 00:57:00,1.2026666666666663
58,01-Jan-2022 00:58:00,1.3253333333333333
59,01-Jan-2022 00:59:00,1.1303333333333332
60,01-Jan-2022 01:00:00,1.2188333333333334
61,01-Jan-2022 01:01:00,1.1448333333333338
62,01-Jan-2022 01:02:00,1.2545
63,01-Jan-2022 01:03:00,1.1354999999999997
64,01-Jan-2022 01:04:00,1.235166666666667
65,01-Jan-2022 01:05:00,1.4428333333333334
66,01-Jan-2022 01:06:00,1.7398333333333331
67,01-Jan-2022 01:07:00,2.0205000000000006
68,01-Jan-2022 01:08:00,2.0943333333333336
69,01-Jan-2022 01:09:00,1.8436666666666661
70,01-Jan-2022 01:10:00,1.8968333333333336
71,01-Jan-2022 01:11:00,2.0984999999999996
72,01-Jan-2022 01:12:00,2.0666666666666673
73,01-Jan-2022 01:13:00,2.1053333333333333
74,01-Jan-2022 01:14:00,1.8148333333333333
75,01-Jan-2022 01:15:00,1.7423333333333333
76,01-Jan-2022 01:16:00,1.782333333333333
77,01-Jan-2022 01:17:00,1.6473333333333327
78,01-Jan-2022 01:18:00,1.526333333333333
79,01-Jan-2022 01:19:00,1.4398333333333329
80,01-Jan-2022 01:20:00,1.3874999999999997
81,01-Jan-2022 01:21:00,1.3918333333333335
82,01-Jan-2022 01:22:00,1.2796666666666665
83,01-Jan-2022 01:23:00,1.3010000000000004
84,01-Jan-2022 01:24:00,1.168166666666667
85,01-Jan-2022 01:25:00,1.2179999999999997
86,01-Jan-2022 01:26:00,1.1676666666666666
87,01-Jan-2022 01:27:00,1.1363333333333332
88,01-Jan-2022 01:28:00,1.0878333333333334
89,01-Jan-2022 01:29:00,1.0363333333333336
90,01-Jan-2022 01:30:00,0.8286666666666667
91,01-Jan-2022 01:31:00,0.8353333333333332
92,01-Jan-2022 01:32:00,0.8526666666666666
93,01-Jan-2022 01:33:00,0.9643333333333334
94,01-Jan-2022 01:34:00,0.8840000000000002
95,01-Jan-2022 01:35:00,0.8865
96,01-Jan-2022 01:36:00,0.9703333333333332
97,01-Jan-2022 01:37:00,1.2103333333333335
98,01-Jan-2022 01:38:00,1.2229999999999999
99,01-Jan-2022 01:39:00,1.1736666666666662
100,01-Jan-2022 01:40:00,1.0753333333333333
101,01-Jan-2022 01:41:00,1.0841666666666667
102,01-Jan-2022 01:42:00,0.9494999999999999
103,01-Jan-2022 01:43:00,0.9640000000000002
104,01-Jan-2022 01:44:00,0.9105000000000003
105,01-Jan-2022 01:45:00,0.8513333333333334
106,01-Jan-2022 01:46:00,0.9629999999999997
107,01-Jan-2022 01:47:00,0.9636666666666666
